order_id (unique),product_id,column3,store_id,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2
34,P0664,,S0015,02-Jan-17,0 sales,0,30,1.25,PR14,,PR03,,NA
35,P0689,,S0119,02-Jan-17,0 sales,0,3,28.9,PR10,low,PR03,,NA
36,P0726,,S0045,02-Jan-17,0 sales,0,16,1,PR14,,PR03,,NA
37,P0427,,S0116,02-Jan-17,0 sales,0,29,2.45,PR06,low,PR03,,NA
38,P0664,,S0014,02-Jan-17,1 sales,1.16,14,1.25,PR14,,PR03,,NA
39,P0406,,S0138,02-Jan-17,0 sales,0,2,9.95,PR14,,PR03,,NA
40,P0499,,S0013,02-Jan-17,1 sales,0.69,23,0.75,PR14,,PR03,,NA
41,P0664,,S0130,02-Jan-17,0 sales,0,16,1.25,PR14,,PR03,,NA
42,P0665,,S0088,02-Jan-17,0 sales,0,5,10.75,PR14,,PR03,,NA
43,P0286,,S0070,02-Jan-17,0 sales,0,22,1,PR14,,PR03,,NA
44,P0456,,S0056,02-Jan-17,0 sales,0,7,31.9,PR14,,PR03,,NA
45,P0747,,S0070,02-Jan-17,0 sales,0,4,11.95,PR14,,PR03,,NA
46,P0527,,S0110,02-Jan-17,0 sales,0,15,1.95,PR14,,PR03,,NA
47,P0673,,S0139,02-Jan-17,0 sales,0,6,8.95,PR14,,PR03,,NA
48,P0336,,S0123,02-Jan-17,0 sales,0,3,21.5,PR14,,PR03,,NA
49,P0283,,S0025,03-Jan-17,0 sales,0,10,21.5,PR14,,PR03,,NA
50,P0740,,S0043,03-Jan-17,0 sales,0,4,9.9,PR14,,PR03,,NA
51,P0219,,S0142,03-Jan-17,0 sales,0,6,7.25,PR14,,PR03,,NA
52,P0543,,S0043,03-Jan-17,0 sales,0,21,2.5,PR14,,PR03,,NA
53,P0697,,S0065,03-Jan-17,0 sales,0,16,17.75,PR14,,PR03,,NA
54,P0695,,S0082,03-Jan-17,0 sales,0,11,4.85,PR14,,PR03,,NA
55,P0658,,S0002,03-Jan-17,0 sales,0,3,24.5,PR14,,PR03,,NA
56,P0116,,S0085,03-Jan-17,0 sales,0,11,0.85,PR14,,PR03,,NA
57,P0336,,S0078,03-Jan-17,0 sales,0,5,21.5,PR14,,PR03,,NA
58,P0614,,S0124,03-Jan-17,0 sales,0,5,15.9,PR14,,PR03,,NA
59,P0450,,S0132,03-Jan-17,0 sales,0,3,11.9,PR14,,PR03,,NA
60,P0453,,S0077,03-Jan-17,0 sales,0,5,5.25,PR14,,PR03,,NA
61,P0390,,S0116,03-Jan-17,0 sales,0,2,9.85,PR14,,PR03,,NA
62,P0438,,S0128,03-Jan-17,5 sales,1.39,0,NA,PR14,,PR03,,NA
63,P0642,,S0022,03-Jan-17,2 sales,4.17,7,2.25,PR14,,PR03,,NA
64,P0551,,S0086,03-Jan-17,0 sales,0,17,1.85,PR14,,PR03,,NA
65,P0520,,S0097,03-Jan-17,2 sales,5.46,39,2.95,PR14,,PR03,,NA
66,P0185,,S0018,03-Jan-17,0 sales,0,1,0.75,PR14,,PR03,,NA
67,P0213,,S0038,03-Jan-17,0 sales,0,89,18.9,PR14,,PR03,,NA
68,P0654,,S0040,03-Jan-17,0 sales,0,5,9.75,PR14,,PR03,,NA
69,P0237,,S0023,03-Jan-17,0 sales,0,4,59.9,PR05,high,PR03,,NA
70,P0453,,S0027,03-Jan-17,0 sales,0,15,5.25,PR14,,PR03,,NA
71,P0459,,S0094,03-Jan-17,1 sales,2.73,48,2.95,PR14,,PR03,,NA
72,P0260,,S0095,03-Jan-17,1 sales,16.2,18,17.5,PR14,,PR03,,NA
73,P0390,,S0139,03-Jan-17,0 sales,0,4,9.85,PR14,,PR03,,NA
74,P0438,,S0026,03-Jan-17,42 sales,9.72,387,0.25,PR14,,PR03,,NA
75,P0171,,S0020,03-Jan-17,1 sales,8.35,6,9.85,PR14,,PR03,,NA
76,P0691,,S0144,03-Jan-17,0 sales,0,3,3,PR14,,PR03,,NA
77,P0201,,S0016,03-Jan-17,0 sales,0,4,14.9,PR14,,PR03,,NA
78,P0268,,S0105,03-Jan-17,0 sales,0,13,1,PR14,,PR03,,NA
79,P0103,,S0022,03-Jan-17,1 sales,2.45,7,2.65,PR14,,PR03,,NA
80,P0642,,S0082,03-Jan-17,2 sales,4.17,3,2.25,PR14,,PR03,,NA
81,P0652,,S0083,03-Jan-17,0 sales,0,9,3.75,PR14,,PR03,,NA
82,P0249,,S0093,03-Jan-17,0 sales,0,9,1.9,PR14,,PR03,,NA
83,P0184,,S0023,03-Jan-17,0 sales,0,11,47.5,PR14,,PR03,,NA
84,P0092,,S0050,03-Jan-17,0 sales,0,3,1.55,PR14,,PR03,,NA
85,P0092,,S0088,03-Jan-17,0 sales,0,8,1.55,PR14,,PR03,,NA
86,P0506,,S0107,03-Jan-17,0 sales,0,12,5.95,PR05,verylow,PR03,,NA
87,P0372,,S0002,03-Jan-17,0 sales,0,122,2.9,PR14,,PR03,,NA
88,P0204,,S0062,04-Jan-17,0 sales,0,62,5.9,PR14,,PR03,,NA
89,P0569,,S0085,04-Jan-17,1 sales,2.41,163,2.6,PR14,,PR03,,NA
90,P0408,,S0085,04-Jan-17,0 sales,0,6,29.9,PR14,,PR03,,NA
91,P0712,,S0023,04-Jan-17,0 sales,0,47,19.9,PR14,,PR03,,NA
92,P0651,,S0049,04-Jan-17,0 sales,0,8,15.5,PR14,,PR03,,NA
93,P0506,,S0123,04-Jan-17,0 sales,0,11,5.95,PR05,verylow,PR03,,NA
94,P0690,,S0040,04-Jan-17,0 sales,0,3,13.9,PR14,,PR03,,NA
95,P0131,,S0123,04-Jan-17,1 sales,2.08,21,2.25,PR14,,PR03,,NA
96,P0297,,S0066,04-Jan-17,0 sales,0,4,14.95,PR14,,PR03,,NA
97,P0691,,S0094,04-Jan-17,0 sales,0,2,3,PR14,,PR03,,NA
98,P0459,,S0113,04-Jan-17,0 sales,0,41,2.95,PR14,,PR03,,NA
99,P0260,,S0085,04-Jan-17,0 sales,0,9,17.5,PR14,,PR03,,NA
100,P0103,,S0013,04-Jan-17,3 sales,7.36,28,2.65,PR14,,PR03,,NA
101,P0663,,S0031,04-Jan-17,0 sales,0,44,3.25,PR14,,PR03,,NA
102,P0345,,S0093,04-Jan-17,0 sales,0,3,3.15,PR06,verylow,PR03,,NA
103,P0520,null,S0066,04-Jan-17,0 sales,0,18,2.95,PR14,,PR03,,NA
104,P0499,null,S0019,04-Jan-17,1 sales,0.69,41,0.75,PR14,,PR03,,NA
105,P0297,,S0010,04-Jan-17,0 sales,0,5,14.95,PR14,,PR03,,NA
106,P0296,,S0010,04-Jan-17,0 sales,0,6,0.75,PR14,,PR03,,NA
107,P0154,,S0013,04-Jan-17,0 sales,0,100,1.89,PR14,,PR03,,NA
108,P0473,,S0078,04-Jan-17,0 sales,0,2,29.9,PR14,,PR03,,NA
109,P0623,,S0090,04-Jan-17,0 sales,0,55,9.9,PR14,,PR03,,NA
110,P0017,,S0023,04-Jan-17,1 sales,1.38,26,1.49,PR14,,PR03,,NA
111,P0543,,S0087,04-Jan-17,0 sales,0,20,2.5,PR14,,PR03,,NA
112,P0453,,S0125,04-Jan-17,0 sales,0,28,5.25,PR14,,PR03,,NA
113,P0590,,S0054,04-Jan-17,2 sales,0.93,7,0.5,PR14,,PR03,,NA
114,P0413,,S0084,04-Jan-17,0 sales,0,6.1,1.99,PR03,verylow,PR03,,NA
115,P0185,,S0023,04-Jan-17,0 sales,0,6,0.75,PR14,,PR03,,NA
116,P0436,,S0040,04-Jan-17,3 sales,8.33,94,3,PR14,,PR03,,NA
117,P0437,,S0062,04-Jan-17,0 sales,0,3,10.9,PR14,,PR03,,NA
118,P0160,,S0027,04-Jan-17,0 sales,0,11,2.5,PR14,,PR03,,NA
119,P0060,,S0085,04-Jan-17,0 sales,0,9,15.9,PR14,,PR03,,NA
120,P0356,,S0058,04-Jan-17,0 sales,0,5,2.5,PR14,,PR03,,NA
121,P0311,,S0116,04-Jan-17,1 sales,1,2,1,PR14,,PR03,,NA
122,P0704,,S0132,04-Jan-17,0 sales,0,14,2.1,PR14,,PR03,,NA
123,P0261,,S0091,04-Jan-17,0 sales,0,23,4.75,PR14,,PR03,,NA
124,P0286,,S0084,04-Jan-17,3 sales,2.78,34,1,PR14,,PR03,,NA
125,P0280,,S0085,04-Jan-17,1 sales,5.08,11,5.99,PR14,,PR03,,NA
126,P0103,,S0082,04-Jan-17,4 sales,9.81,54,2.65,PR14,,PR03,,NA
127,P0732,,S0090,04-Jan-17,0 sales,0,6,7.25,PR14,,PR03,,NA
128,P0584,,S0113,04-Jan-17,1 sales,9.7,24,11.45,PR14,,PR03,,NA
129,P0454,,S0123,04-Jan-17,1 sales,1.94,15,2.1,PR14,,PR03,,NA
130,P0219,,S0083,04-Jan-17,0 sales,0,3,7.25,PR14,,PR03,,NA
131,P0689,,S0125,05-Jan-17,1 sales,24.49,6,28.9,PR14,,PR03,,NA
132,P0051,,S0123,05-Jan-17,1 sales,0.65,10,0.7,PR14,,PR03,,NA
133,P0099,,S0142,05-Jan-17,0 sales,0,12,10.9,PR14,,PR03,,NA
134,P0312,,S0051,05-Jan-17,0 sales,0,8,12.9,PR14,,PR03,,NA
135,P0459,,S0110,05-Jan-17,2 sales,5.46,48,2.95,PR14,,PR03,,NA
136,P0162,,S0038,05-Jan-17,0 sales,0,8,3.9,PR14,,PR03,,NA
137,P0499,,S0083,05-Jan-17,0 sales,0,19,0.75,PR14,,PR03,,NA
138,P0390,,S0012,05-Jan-17,0 sales,0,5,9.85,PR14,,PR03,,NA
139,P0372,,S0086,05-Jan-17,0 sales,0,1,2.9,PR14,,PR03,,NA
140,P0275,,S0050,05-Jan-17,0 sales,0,44,2.15,PR14,,PR03,,NA
141,P0459,,S0123,05-Jan-17,0 sales,0,16,2.95,PR14,,PR03,,NA
142,P0514,,S0135,05-Jan-17,0 sales,0,2,8.9,PR14,,PR03,,NA
143,P0316,,S0020,05-Jan-17,0 sales,0,0.004,59.9,PR14,,PR03,,NA
144,P0311,,S0091,05-Jan-17,0 sales,0,3,1,PR14,,PR03,,NA
145,P0694,,S0010,05-Jan-17,0 sales,0,6,5.99,PR14,,PR03,,NA
146,P0664,,S0125,05-Jan-17,1 sales,1.16,20,1.25,PR14,,PR03,,NA
147,P0227,,S0058,05-Jan-17,0 sales,0,2,8,PR14,,PR03,,NA
148,P0705,,S0142,05-Jan-17,0 sales,0,2,11.65,PR14,,PR03,,NA
149,P0642,,S0087,05-Jan-17,1 sales,2.08,13,2.25,PR14,,PR03,,NA
150,P0171,,S0084,05-Jan-17,0 sales,0,4,9.85,PR14,,PR03,,NA
151,P0506,,S0055,05-Jan-17,0 sales,0,18,5.95,PR14,,PR03,,NA
152,P0340,,S0055,05-Jan-17,0 sales,0,2,29.99,PR14,,PR03,,NA
153,P0348,,S0107,05-Jan-17,0 sales,0,10,2.1,PR14,,PR03,,NA
154,P0148,,S0121,05-Jan-17,1 sales,5.46,0,NA,PR14,,PR03,,NA
155,P0458,,S0062,05-Jan-17,5 sales,18.01,34,4.25,PR14,,PR03,,NA
156,P0420,,S0038,05-Jan-17,0 sales,0,79,0.6,PR14,,PR03,,NA
157,P0054,,S0103,05-Jan-17,0 sales,0,13,3.95,PR14,,PR03,,NA
158,P0699,,S0040,05-Jan-17,0 sales,0,1,9,PR14,,PR03,,NA
159,P0364,,S0038,05-Jan-17,10 sales,9.26,162,1,PR14,,PR03,,NA
160,P0148,,S0091,05-Jan-17,0 sales,0,6,5.75,PR14,,PR03,,NA
161,P0263,,S0031,05-Jan-17,0 sales,0,10,16.95,PR14,,PR03,,NA
162,P0695,,S0031,05-Jan-17,0 sales,0,17,4.85,PR14,,PR03,,NA
163,P0718,,S0068,05-Jan-17,0 sales,0,12,13,PR14,,PR03,,NA
164,P0490,,S0031,05-Jan-17,0 sales,0,5,52.9,PR14,,PR03,,NA
165,P0311,,S0074,05-Jan-17,1 sales,1,2,1,PR14,,PR03,,NA
166,P0272,,S0097,05-Jan-17,1 sales,5.79,4,6.25,PR14,,PR03,,NA
167,P0705,,S0063,05-Jan-17,0 sales,0,5,11.65,PR14,,PR03,,NA
168,P0705,,S0011,05-Jan-17,0 sales,0,12,11.65,PR14,,PR03,,NA
169,P0614,,S0062,05-Jan-17,0 sales,0,8,15.9,PR14,,PR03,,NA
170,P0490,,S0096,05-Jan-17,0 sales,0,5,52.9,PR14,,PR03,,NA
171,P0635,,S0108,05-Jan-17,0 sales,0,10,4.75,PR14,,PR03,,NA
172,P0718,,S0052,05-Jan-17,0 sales,0,54,13,PR14,,PR03,,NA
173,P0312,,S0001,05-Jan-17,0 sales,0,16,12.9,PR14,,PR03,,NA
174,P0211,,S0104,05-Jan-17,0 sales,0,8,8.95,PR14,,PR03,,NA
175,P0437,,S0070,05-Jan-17,0 sales,0,1,10.9,PR14,,PR03,,NA
176,P0602,,S0078,05-Jan-17,0 sales,0,9,9.9,PR14,,PR03,,NA
177,P0372,,S0107,05-Jan-17,1 sales,2.46,43,2.9,PR14,,PR03,,NA
178,P0527,,S0097,06-Jan-17,1 sales,1.81,18,1.95,PR14,,PR03,,NA
179,P0438,,S0140,06-Jan-17,4 sales,0.93,33,0.25,PR14,,PR03,,NA
180,P0333,,S0044,06-Jan-17,0 sales,0,10,1.85,PR14,,PR03,,NA
181,P0514,,S0008,06-Jan-17,0 sales,0,2,8.9,PR14,,PR03,,NA
182,P0657,,S0065,06-Jan-17,0 sales,0,14,7.75,PR14,,PR03,,NA
183,P0534,,S0142,06-Jan-17,1 sales,1.85,24,2,PR14,,PR03,,NA
184,P0296,,S0043,06-Jan-17,0 sales,0,13,0.75,PR14,,PR03,,NA
185,P0340,,S0001,06-Jan-17,0 sales,0,2,29.99,PR14,,PR03,,NA
186,P0283,,S0015,06-Jan-17,0 sales,0,3,21.5,PR14,,PR03,,NA
187,P0499,,S0009,06-Jan-17,0 sales,0,19,0.75,PR14,,PR03,,NA
188,P0325,,S0021,06-Jan-17,0 sales,0,2,8.45,PR14,,PR03,,NA
189,P0017,,S0078,06-Jan-17,0 sales,0,11,1.49,PR06,high,PR03,,NA
190,P0590,,S0122,06-Jan-17,0 sales,0,32,0.5,PR14,,PR03,,NA
191,P0370,,S0051,06-Jan-17,0 sales,0,23,4.75,PR14,,PR03,,NA
192,P0510,,S0097,06-Jan-17,0 sales,0,16,19.75,PR14,,PR03,,NA
193,P0116,,S0117,06-Jan-17,1 sales,0.79,3,0.85,PR14,,PR03,,NA
194,P0635,,S0012,06-Jan-17,0 sales,0,6,4.75,PR14,,PR03,,NA
195,P0470,,S0144,06-Jan-17,0 sales,0,6,17.9,PR14,,PR03,,NA
196,P0613,,S0132,06-Jan-17,0 sales,0,15,6.45,PR14,,PR03,,NA
197,P0129,,S0130,06-Jan-17,0 sales,0,6,24.95,PR14,,PR03,,NA
198,P0490,,S0084,06-Jan-17,0 sales,0,4,52.9,PR14,,PR03,,NA
199,P0131,,S0121,06-Jan-17,2 sales,4.17,0,NA,PR14,,PR03,,NA
200,P0260,,S0142,06-Jan-17,0 sales,0,8,17.5,PR14,,PR03,,NA
201,P0175,,S0026,06-Jan-17,2 sales,9.32,8,5.5,PR14,,PR03,,NA
202,P0261,,S0117,06-Jan-17,0 sales,0,20,4.75,PR14,,PR03,,NA
203,P0514,,S0060,06-Jan-17,1 sales,8.9,0,8.9,PR14,,PR03,,NA
204,P0647,,S0065,06-Jan-17,1 sales,12.92,73,13.95,PR14,,PR03,,NA
205,P0340,,S0094,06-Jan-17,0 sales,0,2,29.99,PR14,,PR03,,NA
206,P0417,,S0132,06-Jan-17,0 sales,0,4,6.9,PR14,,PR03,,NA
207,P0681,,S0144,06-Jan-17,0 sales,0,1,9.9,PR14,,PR03,,NA
208,P0311,,S0088,06-Jan-17,0 sales,0,1,1,PR14,,PR03,,NA
209,P0051,,S0051,06-Jan-17,1 sales,0.65,0,0.7,PR14,,PR03,,NA
210,P0336,,S0066,06-Jan-17,0 sales,0,6,20.9,PR14,,PR03,,NA
211,P0321,,S0070,06-Jan-17,0 sales,0,2,9.9,PR14,,PR03,,NA
212,P0109,,S0144,06-Jan-17,0 sales,0,5,8.95,PR14,,PR03,,NA
213,P0602,,S0078,06-Jan-17,0 sales,0,9,9.9,PR14,,PR03,,NA
214,P0260,,S0065,06-Jan-17,0 sales,0,13,17.5,PR14,,PR03,,NA
215,P0035,,S0094,06-Jan-17,0 sales,0,28,2.45,PR14,,PR03,,NA
216,P0483,,S0024,06-Jan-17,0 sales,0,2,10,PR14,,PR03,,NA
217,P0574,,S0085,06-Jan-17,3 sales,4.58,77,1.65,PR14,,PR03,,NA
218,P0144,,S0123,06-Jan-17,0 sales,0,3,4.95,PR14,,PR03,,NA
219,P0490,,S0132,06-Jan-17,0 sales,0,1,52.9,PR14,,PR03,,NA
220,P0591,,S0050,06-Jan-17,0 sales,0,6,7.45,PR14,,PR03,,NA
221,P0642,,S0065,06-Jan-17,2 sales,4.17,15,2.25,PR14,,PR03,,NA
222,P0260,,S0033,06-Jan-17,0 sales,0,6,17.5,PR14,,PR03,,NA
223,P0665,,S0103,07-Jan-17,0 sales,0,5,10.75,PR14,,PR03,,NA
224,P0690,,S0056,07-Jan-17,0 sales,0,40,13.9,PR14,,PR03,,NA
225,P0067,,S0087,07-Jan-17,0 sales,0,6,15.9,PR10,verylow,PR03,,NA
226,P0333,,S0074,07-Jan-17,2 sales,3.43,20,1.85,PR14,,PR03,,NA
227,P0427,,S0063,07-Jan-17,0 sales,0,8,2.45,PR14,,PR03,,NA
228,P0372,,S0120,07-Jan-17,1 sales,2.46,12,2.9,PR14,,PR03,,NA
229,P0083,,S0094,07-Jan-17,0 sales,0,13,6.9,PR14,,PR03,,NA
230,P0377,,S0102,07-Jan-17,0 sales,0,7,9,PR14,,PR03,,NA
231,P0536,,S0113,07-Jan-17,0 sales,0,10,2.95,PR14,,PR03,,NA
232,P0261,,S0024,07-Jan-17,4 sales,17.59,31,4.75,PR14,,PR03,,NA
233,P0611,,S0126,07-Jan-17,1 sales,12,1,12,PR14,,PR03,,NA
234,P0408,,S0002,07-Jan-17,0 sales,0,9,29.9,PR14,,PR03,,NA
235,P0660,,S0144,07-Jan-17,0 sales,0,3,4.95,PR14,,PR03,,NA
236,P0602,,S0060,07-Jan-17,0 sales,0,5,9.9,PR14,,PR03,,NA
237,P0165,,S0126,07-Jan-17,0 sales,0,12,1.4,PR14,,PR03,,NA
238,P0640,,S0117,07-Jan-17,0 sales,0,3,24.95,PR05,moderate,PR03,,NA
239,P0267,,S0094,07-Jan-17,0 sales,0,17,4,PR14,,PR03,,NA
240,P0277,,S0138,07-Jan-17,0 sales,0,25,3.45,PR14,,PR03,,NA
241,P0287,,S0105,07-Jan-17,0 sales,0,11,7.5,PR14,,PR03,,NA
242,P0229,,S0026,07-Jan-17,0 sales,0,7,6.85,PR14,,PR03,,NA
243,P0204,,S0043,07-Jan-17,0 sales,0,1,5.9,PR14,,PR03,,NA
244,P0134,,S0082,07-Jan-17,0 sales,0,1,5.9,PR14,,PR03,,NA
245,P0109,,S0050,07-Jan-17,0 sales,0,10,8.95,PR14,,PR03,,NA
246,P0229,,S0085,07-Jan-17,0 sales,0,7,6.85,PR14,,PR03,,NA
247,P0400,,S0027,07-Jan-17,0 sales,0,3,7.5,PR14,,PR03,,NA
248,P0412,,S0122,07-Jan-17,0 sales,0,7,3.95,PR14,,PR03,,NA
249,P0412,,S0082,07-Jan-17,0 sales,0,6,6.5,PR14,,PR03,,NA
250,P0280,,S0004,07-Jan-17,0 sales,0,7,5.99,PR05,moderate,PR03,,NA
251,P0490,,S0002,07-Jan-17,0 sales,0,2,52.9,PR14,,PR03,,NA
252,P0658,,S0083,07-Jan-17,0 sales,0,4,24.5,PR14,,PR03,,NA
253,P0747,,S0108,07-Jan-17,0 sales,0,4,11.95,PR14,,PR03,,NA
254,P0297,,S0073,07-Jan-17,0 sales,0,5,14.95,PR14,,PR03,,NA
255,P0103,,S0139,07-Jan-17,2 sales,4.91,82,2.65,PR14,,PR03,,NA
256,P0402,,S0110,07-Jan-17,0 sales,0,27,7.75,PR14,,PR03,,NA
257,P0481,,S0113,07-Jan-17,0 sales,0,3,4.9,PR14,,PR03,,NA
258,P0226,,S0062,07-Jan-17,0 sales,0,2,1.5,PR14,,PR03,,NA
259,P0370,,S0043,07-Jan-17,0 sales,0,18,4.75,PR14,,PR03,,NA
260,P0147,,S0045,07-Jan-17,0 sales,0,4,3.99,PR14,,PR03,,NA
261,P0483,,S0078,07-Jan-17,0 sales,0,3,10,PR14,,PR03,,NA
262,P0356,,S0080,07-Jan-17,0 sales,0,14,2.5,PR14,,PR03,,NA
263,P0500,,S0043,07-Jan-17,1 sales,5.51,34,5.95,PR14,,PR03,,NA
264,P0283,,S0049,07-Jan-17,0 sales,0,18,21.5,PR14,,PR03,,NA
265,P0666,,S0031,07-Jan-17,0 sales,0,15,10.9,PR14,,PR03,,NA
266,P0150,,S0108,07-Jan-17,0 sales,0,6,12.99,PR14,,PR03,,NA
267,P0660,,S0137,07-Jan-17,0 sales,0,5,4.95,PR14,,PR03,,NA
268,P0129,,S0135,08-Jan-17,0 sales,0,5,24.95,PR14,,PR03,,NA
269,P0732,,S0132,08-Jan-17,0 sales,0,9,7.25,PR14,,PR03,,NA
270,P0718,,S0013,08-Jan-17,0 sales,0,5,13,PR14,,PR03,,NA
271,P0258,,S0026,08-Jan-17,0 sales,0,11,6.5,PR14,,PR03,,NA
272,P0177,,S0023,08-Jan-17,0 sales,0,8,10.9,PR14,,PR03,,NA
273,P0131,,S0074,08-Jan-17,0 sales,0,22,2.25,PR14,,PR03,,NA
274,P0666,,S0097,08-Jan-17,0 sales,0,23,10.9,PR14,,PR03,,NA
275,P0321,,S0065,08-Jan-17,0 sales,0,6,9.9,PR14,,PR03,,NA
276,P0083,,S0070,08-Jan-17,0 sales,0,4,6.9,PR14,,PR03,,NA
277,P0506,,S0020,08-Jan-17,0 sales,0,9,5.95,PR14,,PR03,,NA
278,P0454,,S0115,08-Jan-17,0 sales,0,24,2.1,PR10,low,PR03,,NA
279,P0220,,S0094,08-Jan-17,0 sales,0,24,1.75,PR14,,PR03,,NA
280,P0151,,S0038,08-Jan-17,0 sales,0,8,6.9,PR14,,PR03,,NA
281,P0160,,S0125,08-Jan-17,0 sales,0,10,2.5,PR14,,PR03,,NA
282,P0172,,S0094,08-Jan-17,0 sales,0,6,3.5,PR14,,PR03,,NA
283,P0046,,S0094,08-Jan-17,0 sales,0,18,34.5,PR14,,PR03,,NA
284,P0543,,S0138,08-Jan-17,0 sales,0,32,2.5,PR14,,PR03,,NA
285,P0204,,S0104,08-Jan-17,0 sales,0,17,5.9,PR14,,PR03,,NA
286,P0389,,S0051,08-Jan-17,0 sales,0,5,8.65,PR14,,PR03,,NA
287,P0177,,S0028,08-Jan-17,2 sales,3.39,0,NA,PR14,,PR03,,NA
288,P0212,,S0102,08-Jan-17,0 sales,0,21,9.95,PR05,low,PR03,,NA
289,P0332,,S0065,08-Jan-17,0 sales,0,5,34.95,PR03,verylow,PR03,,NA
290,P0735,,S0031,08-Jan-17,0 sales,0,7,8.5,PR14,,PR03,,NA
291,P0327,,S0105,08-Jan-17,0 sales,0,5,2.75,PR14,,PR03,,NA
292,P0296,,S0138,08-Jan-17,0 sales,0,2,0.75,PR14,,PR03,,NA
293,P0116,,S0049,08-Jan-17,0 sales,0,16,0.85,PR14,,PR03,,NA
294,P0425,,S0058,08-Jan-17,0 sales,0,12,4.5,PR14,,PR03,,NA
295,P0408,,S0094,08-Jan-17,0 sales,0,8,29.9,PR14,,PR03,,NA
296,P0690,,S0052,08-Jan-17,0 sales,0,16,13.9,PR14,,PR03,,NA
297,P0705,,S0084,08-Jan-17,1 sales,9.87,6,11.65,PR14,,PR03,,NA
298,P0438,,S0099,08-Jan-17,0 sales,0,5,0.25,PR14,,PR03,,NA
299,P0356,,S0091,08-Jan-17,0 sales,0,35,2.5,PR14,,PR03,,NA
300,P0336,,S0026,08-Jan-17,0 sales,0,4,20.9,PR14,,PR03,,NA
301,P0436,,S0117,08-Jan-17,0 sales,0,20,3,PR14,,PR03,,NA
