order_id,product_id,store_id,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2
18141,P0195,S0125,01-Jan-18,0,0,3,6.4,PR14,,PR03,,NA
18142,P0438,S0124,01-Jan-18,3,1.39,33,0.5,PR14,,PR03,,NA
18143,P0090,S0137,01-Jan-18,0,0,5,3.25,PR14,,PR03,,NA
18144,P0296,S0135,01-Jan-18,0,0,21,0.75,PR14,,PR03,,NA
18145,P0665,S0034,01-Jan-18,0,0,6,10.75,PR14,,PR03,,NA
18146,P0336,S0084,01-Jan-18,0,0,5,29.5,PR14,,PR03,,NA
18147,P0125,S0025,01-Jan-18,0,0,5,2.95,PR14,,PR03,,NA
18148,P0358,S0024,01-Jan-18,0,0,8,2,PR14,,PR03,,NA
18149,P0131,S0011,01-Jan-18,1,2.31,9,2.5,PR14,,PR03,,NA
18150,P0639,S0073,01-Jan-18,0,0,8,7.95,PR14,,PR03,,NA
18151,P0458,S0125,01-Jan-18,0,0,7,4.5,PR14,,PR03,,NA
18152,P0425,S0023,01-Jan-18,2,10,17,5.9,PR14,,PR03,,NA
18153,P0400,S0054,01-Jan-18,0,0,2,7.5,PR14,,PR03,,NA
18154,P0499,S0096,01-Jan-18,0,0,30,0.75,PR14,,PR03,,NA
18155,P0701,S0066,01-Jan-18,1,11.02,5,11.9,PR14,,PR03,,NA
18156,P0144,S0012,01-Jan-18,0,0,3,4.95,PR07,verylow,PR03,,NA
18157,P0195,S0052,01-Jan-18,0,0,4,6.4,PR14,,PR03,,NA
18158,P0328,S0097,01-Jan-18,0,0,6,29.9,PR14,,PR03,,NA
18159,P0694,S0089,01-Jan-18,0,0,5,3.95,PR14,,PR03,,NA
18160,P0140,S0137,01-Jan-18,0,0,9,6,PR14,,PR03,,NA
18161,P0695,S0073,01-Jan-18,0,0,3,5.25,PR14,,PR03,,NA
18162,P0114,S0138,01-Jan-18,0,0,11,0.65,PR14,,PR03,,NA
18163,P0042,S0122,01-Jan-18,0,0,1,5.5,PR14,,PR03,,NA
18164,P0372,S0074,01-Jan-18,1,2.97,48,3.5,PR14,,PR03,,NA
18165,P0073,S0065,01-Jan-18,0,0,27,5.9,PR14,,PR03,,NA
18166,P0167,S0126,01-Jan-18,0,0,1,42.9,PR14,,PR03,,NA
18167,P0212,S0096,01-Jan-18,0,0,5,10.75,PR05,verylow,PR03,,NA
18168,P0694,S0048,01-Jan-18,0,0,48,NA,PR14,,PR03,,NA
18169,P0067,S0043,01-Jan-18,0,0,10,16.9,PR10,verylow,PR03,,NA
18170,P0116,S0063,01-Jan-18,0,0,3,1.15,PR14,,PR03,,NA
18171,P0147,S0091,01-Jan-18,0,0,5,5.5,PR14,,PR03,,NA
18172,P0671,S0025,01-Jan-18,0,0,5,3.25,PR14,,PR03,,NA
18173,P0704,S0050,01-Jan-18,0,0,26,2.35,PR14,,PR03,,NA
18174,P0681,S0074,01-Jan-18,0,0,6,10.9,PR14,,PR03,,NA
18175,P0141,S0144,01-Jan-18,0,0,18,2.25,PR14,,PR03,,NA
18176,P0569,S0012,01-Jan-18,1,2.87,30,3.1,PR14,,PR03,,NA
18177,P0458,S0038,01-Jan-18,1,3.81,39,4.5,PR14,,PR03,,NA
18178,P0565,S0108,01-Jan-18,0,0,3,2.25,PR14,,PR03,,NA
18179,P0171,S0040,01-Jan-18,0,0,5,11.9,PR14,,PR03,,NA
18180,P0261,S0083,02-Jan-18,0,0,32,4.5,PR03,verylow,PR03,,NA
18181,P0510,S0013,02-Jan-18,0,0,7,20.5,PR14,,PR03,,NA
18182,P0682,S0012,02-Jan-18,0,0,6,4.25,PR14,,PR03,,NA
18183,P0109,S0025,02-Jan-18,1,8.43,12,9.95,PR14,,PR03,,NA
18184,P0737,S0115,02-Jan-18,0,0,15,9.95,PR14,,PR03,,NA
18185,P0575,S0082,02-Jan-18,1,1.85,4,2.25,PR10,verylow,PR03,,NA
18186,P0415,S0008,02-Jan-18,0,0,1,6.4,PR14,,PR03,,NA
18187,P0197,S0117,02-Jan-18,0,0,6,4,PR14,,PR03,,NA
18188,P0171,S0121,02-Jan-18,1,10.08,9,NA,PR14,,PR03,,NA
18189,P0131,S0054,02-Jan-18,0,0,8,2.5,PR14,,PR03,,NA
18190,P0453,S0123,02-Jan-18,0,0,24,5.75,PR14,,PR03,,NA
18191,P0241,S0105,02-Jan-18,0,0,8,12.95,PR05,low,PR03,,NA
18192,P0485,S0056,02-Jan-18,0,0,3,8.9,PR05,moderate,PR03,,NA
18193,P0664,S0084,02-Jan-18,2,2.31,11,1.25,PR14,,PR03,,NA
18194,P0226,S0055,02-Jan-18,0,0,9,1.7,PR14,,PR03,,NA
18195,P0390,S0094,02-Jan-18,0,0,3,11.9,PR14,,PR03,,NA
18196,P0456,S0040,02-Jan-18,0,0,6,31.9,PR14,,PR03,,NA
18197,P0437,S0096,02-Jan-18,0,0,5,11.9,PR14,,PR03,,NA
18198,P0458,S0039,02-Jan-18,0,0,28,4.5,PR14,,PR03,,NA
18199,P0055,S0014,02-Jan-18,0,0,7,3.5,PR05,verylow,PR03,,NA
18200,P0437,S0050,02-Jan-18,0,0,7,11.9,PR14,,PR03,,NA
18201,P0639,S0115,02-Jan-18,1,7.36,5,7.95,PR14,,PR03,,NA
18202,P0140,S0011,02-Jan-18,0,0,4,6,PR14,,PR03,,NA
18203,P0144,S0067,02-Jan-18,0,0,4,4.95,PR07,verylow,PR03,,NA
18204,P0296,S0098,02-Jan-18,1,0.7,23,NA,PR14,,PR03,,NA
18205,P0438,S0006,02-Jan-18,0,0,4,0.5,PR14,,PR03,,NA
18206,P0279,S0031,02-Jan-18,0,0,8,17.25,PR14,,PR03,,NA
18207,P0639,S0016,02-Jan-18,0,0,4,7.95,PR14,,PR03,,NA
18208,P0167,S0029,02-Jan-18,0,0,3,NA,PR14,,PR03,,NA
18209,P0651,S0091,02-Jan-18,0,0,6,15.5,PR14,,PR03,,NA
18210,P0109,S0056,02-Jan-18,0,0,7,9.95,PR14,,PR03,,NA
18211,P0042,S0097,02-Jan-18,0,0,24,5.5,PR14,,PR03,,NA
18212,P0500,S0115,02-Jan-18,4,24.07,114,6.5,PR03,verylow,PR03,,NA
18213,P0092,S0082,02-Jan-18,1,1.62,23,1.75,PR14,,PR03,,NA
18214,P0500,S0032,02-Jan-18,3,18.06,36,6.5,PR03,verylow,PR03,,NA
18215,P0412,S0107,02-Jan-18,0,0,3,7.9,PR14,,PR03,,NA
18216,P0325,S0120,02-Jan-18,0,0,22,10.75,PR14,,PR03,,NA
18217,P0260,S0053,02-Jan-18,0,0,6,20.9,PR14,,PR03,,NA
18218,P0174,S0132,02-Jan-18,0,0,16,4,PR05,verylow,PR03,,NA
18219,P0132,S0115,02-Jan-18,0,0,12,9.99,PR14,,PR03,,NA
18220,P0413,S0108,02-Jan-18,0,0,30,4.5,PR14,,PR03,,NA
18221,P0438,S0121,02-Jan-18,0,0,79,NA,PR14,,PR03,,NA
18222,P0394,S0039,02-Jan-18,0,0,11,1,PR14,,PR03,,NA
18223,P0296,S0107,02-Jan-18,1,0.69,18,0.75,PR14,,PR03,,NA
18224,P0358,S0094,02-Jan-18,0,0,144,2,PR14,,PR03,,NA
18225,P0051,S0070,02-Jan-18,0,0,9,0.7,PR14,,PR03,,NA
18226,P0459,S0087,02-Jan-18,0,0,2,3.35,PR14,,PR03,,NA
18227,P0035,S0096,02-Jan-18,2,7.13,17,3.85,PR14,,PR03,,NA
18228,P0348,S0069,02-Jan-18,0,0,10,2.65,PR14,,PR03,,NA
18229,P0483,S0038,02-Jan-18,0,0,3,12,PR14,,PR03,,NA
18230,P0497,S0038,02-Jan-18,0,0,23,5.5,PR14,,PR03,,NA
18231,P0249,S0024,02-Jan-18,0,0,13,2.2,PR14,,PR03,,NA
18232,P0054,S0128,02-Jan-18,0,0,1,NA,PR14,,PR03,,NA
18233,P0656,S0030,02-Jan-18,0,0,30,2,PR14,,PR03,,NA
18234,P0212,S0088,02-Jan-18,0,0,7,10.75,PR05,verylow,PR03,,NA
18235,P0103,S0095,02-Jan-18,3,8.19,96,2.95,PR14,,PR03,,NA
18236,P0436,S0034,02-Jan-18,0,0,14,3.5,PR14,,PR03,,NA
18237,P0280,S0001,02-Jan-18,0,0,19,7.25,PR14,,PR03,,NA
18238,P0639,S0043,02-Jan-18,0,0,6,7.95,PR14,,PR03,,NA
18239,P0355,S0031,02-Jan-18,0,0,2,17.9,PR14,,PR03,,NA
18240,P0585,S0062,02-Jan-18,0,0,4,12.95,PR06,verylow,PR03,,NA
18241,P0652,S0031,02-Jan-18,0,0,19,4.45,PR14,,PR03,,NA
18242,P0046,S0035,02-Jan-18,0,0,8,32.5,PR05,moderate,PR03,,NA
18243,P0325,S0108,02-Jan-18,0,0,13,10.75,PR14,,PR03,,NA
18244,P0109,S0088,02-Jan-18,1,8.43,14,9.95,PR14,,PR03,,NA
18245,P0689,S0038,02-Jan-18,0,0,12,29.9,PR14,,PR03,,NA
18246,P0699,S0031,02-Jan-18,0,0,4,10,PR14,,PR03,,NA
18247,P0569,S0074,03-Jan-18,0,0,47,3.1,PR14,,PR03,,NA
18248,P0328,S0106,03-Jan-18,0,0,7,29.9,PR14,,PR03,,NA
18249,P0456,S0085,03-Jan-18,0,0,34,31.9,PR14,,PR03,,NA
18250,P0428,S0023,03-Jan-18,0,0,6,29.95,PR14,,PR03,,NA
18251,P0260,S0025,03-Jan-18,0,0,9,20.9,PR14,,PR03,,NA
18252,P0083,S0091,03-Jan-18,0,0,17,7.45,PR14,,PR03,,NA
18253,P0348,S0080,03-Jan-18,1,1.96,8,2.65,PR05,verylow,PR03,,NA
18254,P0234,S0018,03-Jan-18,0,0,3,104.9,PR14,,PR03,,NA
18255,P0474,S0115,03-Jan-18,0,0,5,699,PR03,verylow,PR03,,NA
18256,P0556,S0104,03-Jan-18,0,0,4,14.5,PR06,high,PR03,,NA
18257,P0296,S0102,03-Jan-18,4,2.78,14,0.75,PR14,,PR03,,NA
18258,P0311,S0103,03-Jan-18,1,1,1,1,PR14,,PR03,,NA
18259,P0201,S0080,03-Jan-18,0,0,5,15.95,PR14,,PR03,,NA
18260,P0565,S0020,03-Jan-18,0,0,10,2.25,PR14,,PR03,,NA
18261,P0390,S0123,03-Jan-18,0,0,2,11.9,PR14,,PR03,,NA
18262,P0572,S0138,03-Jan-18,3,2.78,12,1,PR14,,PR03,,NA
18263,P0249,S0091,03-Jan-18,0,0,4,2.2,PR14,,PR03,,NA
18264,P0171,S0026,03-Jan-18,0,0,22,11.9,PR14,,PR03,,NA
18265,P0405,S0108,03-Jan-18,0,0,5,19.9,PR10,verylow,PR03,,NA
18266,P0131,S0137,03-Jan-18,0,0,11,2.5,PR14,,PR03,,NA
18267,P0608,S0091,03-Jan-18,0,0,1,9.9,PR14,,PR03,,NA
18268,P0454,S0088,03-Jan-18,0,0,7,2.35,PR14,,PR03,,NA
18269,P0201,S0119,03-Jan-18,0,0,3,15.95,PR14,,PR03,,NA
18270,P0584,S0087,03-Jan-18,2,23.56,4,13.9,PR14,,PR03,,NA
18271,P0196,S0115,03-Jan-18,0,0,1,7.9,PR14,,PR03,,NA
18272,P0394,S0082,03-Jan-18,0,0,6,1,PR14,,PR03,,NA
18273,P0219,S0058,03-Jan-18,0,0,1,7.25,PR14,,PR03,,NA
18274,P0356,S0018,03-Jan-18,0,0,39,2.5,PR14,,PR03,,NA
18275,P0283,S0084,03-Jan-18,0,0,19,23.5,PR14,,PR03,,NA
18276,P0456,S0023,03-Jan-18,0,0,10,31.9,PR14,,PR03,,NA
18277,P0348,S0105,03-Jan-18,1,1.96,4,2.65,PR05,verylow,PR03,,NA
18278,P0438,S0130,03-Jan-18,2,0.93,46,0.5,PR14,,PR03,,NA
18279,P0287,S0052,03-Jan-18,0,0,4,7.95,PR05,verylow,PR03,,NA
18280,P0116,S0066,03-Jan-18,1,1.06,99,1.15,PR14,,PR03,,NA
18281,P0333,S0022,03-Jan-18,3,5.56,14,2,PR14,,PR03,,NA
18282,P0413,S0052,03-Jan-18,0,0,10.13,5.95,PR14,,PR03,,NA
18283,P0669,S0020,03-Jan-18,0,0,10,109.95,PR14,,PR03,,NA
18284,P0551,S0024,03-Jan-18,0,0,24,1.85,PR14,,PR03,,NA
18285,P0659,S0125,03-Jan-18,0,0,4,19.5,PR05,low,PR03,,NA
18286,P0565,S0096,03-Jan-18,0,0,12,2.25,PR14,,PR03,,NA
18287,P0218,S0023,03-Jan-18,0,0,6,59.9,PR14,,PR03,,NA
18288,P0514,S0070,03-Jan-18,0,0,2,8.9,PR14,,PR03,,NA
18289,P0397,S0121,03-Jan-18,0,0,12,NA,PR14,,PR03,,NA
18290,P0144,S0026,03-Jan-18,0,0,9,4.95,PR07,verylow,PR03,,NA
18291,P0584,S0097,03-Jan-18,0,0,21,13.9,PR14,,PR03,,NA
18292,P0601,S0097,03-Jan-18,0,0,13,5.9,PR14,,PR03,,NA
18293,P0035,S0085,03-Jan-18,2,7.13,23,3.85,PR14,,PR03,,NA
18294,P0574,S0060,03-Jan-18,0,0,19,1.95,PR14,,PR03,,NA
18295,P0664,S0139,03-Jan-18,1,1.16,26,1.25,PR14,,PR03,,NA
18296,P0196,S0048,03-Jan-18,0,0,73,NA,PR14,,PR03,,NA
18297,P0311,S0060,03-Jan-18,0,0,2,1,PR14,,PR03,,NA
18298,P0114,S0080,03-Jan-18,1,0.6,39,0.65,PR14,,PR03,,NA
18299,P0070,S0126,03-Jan-18,0,0,8,8.5,PR14,,PR03,,NA
18300,P0427,S0012,03-Jan-18,0,0,10,1.95,PR14,,PR03,,NA
18301,P0565,S0053,03-Jan-18,0,0,31,2.25,PR14,,PR03,,NA
18302,P0628,S0038,03-Jan-18,0,0,31,4.9,PR14,,PR03,,NA
18303,P0035,S0143,04-Jan-18,0,0,14,3.85,PR14,,PR03,,NA
18304,P0283,S0055,04-Jan-18,0,0,12,23.5,PR10,verylow,PR03,,NA
18305,P0125,S0029,04-Jan-18,0,0,16,NA,PR14,,PR03,,NA
18306,P0325,S0091,04-Jan-18,0,0,10,10.75,PR14,,PR03,,NA
18307,P0062,S0122,04-Jan-18,0,0,7,29.9,PR14,,PR03,,NA
18308,P0500,S0053,04-Jan-18,1,7.36,14,7.95,PR14,,PR03,,NA
18309,P0711,S0114,04-Jan-18,0,0,11,19.9,PR14,,PR03,,NA
18310,P0456,S0055,04-Jan-18,0,0,12,31.9,PR14,,PR03,,NA
18311,P0249,S0110,04-Jan-18,0,0,1,2.2,PR14,,PR03,,NA
18312,P0446,S0132,04-Jan-18,0,0,21,5.95,PR14,,PR03,,NA
18313,P0405,S0056,04-Jan-18,0,0,6,19.9,PR14,,PR03,,NA
18314,P0565,S0035,04-Jan-18,1,2.08,7,2.25,PR14,,PR03,,NA
18315,P0491,S0138,04-Jan-18,0,0,4,24.5,PR14,,PR03,,NA
18316,P0242,S0082,04-Jan-18,0,0,8,12.9,PR14,,PR03,,NA
18317,P0726,S0015,04-Jan-18,1,0.93,12,1,PR14,,PR03,,NA
18318,P0616,S0072,04-Jan-18,0,0,1,NA,PR14,,PR03,,NA
18319,P0067,S0102,04-Jan-18,0,0,2,16.9,PR14,,PR03,,NA
18320,P0333,S0128,04-Jan-18,0,0,12,NA,PR14,,PR03,,NA
18321,P0428,S0070,04-Jan-18,0,0,6,29.95,PR14,,PR03,,NA
18322,P0090,S0060,04-Jan-18,0,0,21,3.25,PR14,,PR03,,NA
18323,P0070,S0096,04-Jan-18,0,0,5,8.5,PR10,moderate,PR03,,NA
18324,P0212,S0031,04-Jan-18,0,0,5,10.75,PR14,,PR03,,NA
18325,P0664,S0094,04-Jan-18,2,2.31,21,1.25,PR14,,PR03,,NA
18326,P0325,S0113,04-Jan-18,2,19.91,19,10.75,PR14,,PR03,,NA
18327,P0664,S0096,04-Jan-18,0,0,18,1.25,PR14,,PR03,,NA
18328,P0343,S0038,04-Jan-18,0,0,7,18.9,PR14,,PR03,,NA
18329,P0642,S0115,04-Jan-18,1,2.31,16,2.5,PR14,,PR03,,NA
18330,P0453,S0069,04-Jan-18,0,0,10,6.5,PR14,,PR03,,NA
18331,P0521,S0023,04-Jan-18,0,0,17,19.9,PR14,,PR03,,NA
18332,P0317,S0085,04-Jan-18,0,0,11,39.9,PR14,,PR03,,NA
18333,P0261,S0038,04-Jan-18,0,0,10,4.45,PR03,verylow,PR03,,NA
18334,P0695,S0097,04-Jan-18,0,0,14,5.25,PR14,,PR03,,NA
18335,P0017,S0025,04-Jan-18,2,2.69,12,1.45,PR14,,PR03,,NA
18336,P0150,S0038,04-Jan-18,0,0,3,10,PR14,,PR03,,NA
18337,P0225,S0013,04-Jan-18,0,0,43,2.95,PR14,,PR03,,NA
18338,P0333,S0131,04-Jan-18,0,0,3,2,PR14,,PR03,,NA
18339,P0721,S0049,04-Jan-18,0,0,15,7.9,PR14,,PR03,,NA
18340,P0333,S0080,04-Jan-18,0,0,15,2,PR14,,PR03,,NA
18341,P0438,S0053,04-Jan-18,5,2.31,23,0.5,PR14,,PR03,,NA
18342,P0345,S0110,04-Jan-18,0,0,3,3.75,PR14,,PR03,,NA
18343,P0125,S0139,04-Jan-18,0,0,68,2.95,PR14,,PR03,,NA
18344,P0148,S0115,04-Jan-18,0,0,17,6.4,PR05,low,PR03,,NA
18345,P0575,S0050,04-Jan-18,0,0,4,2.25,PR14,,PR03,,NA
18346,P0448,S0012,04-Jan-18,0,0,12,4.05,PR14,,PR03,,NA
18347,P0639,S0125,04-Jan-18,0,0,7,7.75,PR14,,PR03,,NA
18348,P0328,S0115,04-Jan-18,0,0,12,29.9,PR14,,PR03,,NA
18349,P0327,S0091,04-Jan-18,0,0,12,3.25,PR14,,PR03,,NA
18350,P0405,S0082,04-Jan-18,0,0,12,19.9,PR14,,PR03,,NA
18351,P0198,S0056,04-Jan-18,0,0,28,0.65,PR14,,PR03,,NA
18352,P0140,S0043,04-Jan-18,1,6,6,6,PR14,,PR03,,NA
18353,P0694,S0096,04-Jan-18,0,0,3,6.55,PR14,,PR03,,NA
18354,P0608,S0093,04-Jan-18,0,0,11,9.9,PR14,,PR03,,NA
18355,P0551,S0013,04-Jan-18,0,0,8,1.85,PR14,,PR03,,NA
18356,P0175,S0106,04-Jan-18,0,0,18,5.5,PR14,,PR03,,NA
18357,P0345,S0125,04-Jan-18,0,0,12,3.75,PR14,,PR03,,NA
18358,P0067,S0096,05-Jan-18,0,0,2,16.9,PR14,,PR03,,NA
18359,P0129,S0067,05-Jan-18,1,21.14,5,24.95,PR14,,PR03,,NA
18360,P0613,S0123,05-Jan-18,0,0,6,6.45,PR14,,PR03,,NA
18361,P0497,S0102,05-Jan-18,0,0,50,5.9,PR14,,PR03,,NA
18362,P0720,S0097,05-Jan-18,0,0,5,10,PR14,,PR03,,NA
18363,P0658,S0051,05-Jan-18,0,0,10,29.95,PR14,,PR03,,NA
18364,P0062,S0062,05-Jan-18,0,0,4,29.9,PR14,,PR03,,NA
18365,P0196,S0052,05-Jan-18,0,0,20,7.9,PR14,,PR03,,NA
18366,P0658,S0091,05-Jan-18,0,0,2,29.95,PR14,,PR03,,NA
18367,P0536,S0096,05-Jan-18,0,0,19,3.15,PR14,,PR03,,NA
18368,P0260,S0003,05-Jan-18,0,0,10,20.9,PR14,,PR03,,NA
18369,P0477,S0040,05-Jan-18,0,0,41,4.9,PR14,,PR03,,NA
18370,P0336,S0049,05-Jan-18,0,0,7,21.9,PR14,,PR03,,NA
18371,P0169,S0038,05-Jan-18,0,0,10,7.5,PR14,,PR03,,NA
18372,P0208,S0048,05-Jan-18,0,0,73,NA,PR14,,PR03,,NA
18373,P0406,S0096,05-Jan-18,0,0,1,11.5,PR14,,PR03,,NA
18374,P0277,S0055,05-Jan-18,0,0,6,3.95,PR14,,PR03,,NA
18375,P0458,S0119,05-Jan-18,0,0,26,4.5,PR14,,PR03,,NA
18376,P0615,S0087,05-Jan-18,0,0,8,22.9,PR14,,PR03,,NA
18377,P0060,S0024,05-Jan-18,0,0,3,16.9,PR14,,PR03,,NA
18378,P0067,S0082,05-Jan-18,0,0,6,16.9,PR14,,PR03,,NA
18379,P0654,S0083,05-Jan-18,0,0,7,9.95,PR14,,PR03,,NA
18380,P0051,S0027,05-Jan-18,2,1.3,14,0.7,PR14,,PR03,,NA
18381,P0311,S0010,05-Jan-18,1,1,6,1,PR14,,PR03,,NA
18382,P0536,S0019,05-Jan-18,2,5.83,35,3.15,PR14,,PR03,,NA
18383,P0514,S0032,05-Jan-18,0,0,1,8.9,PR14,,PR03,,NA
18384,P0260,S0116,05-Jan-18,0,0,3,20.9,PR14,,PR03,,NA
18385,P0608,S0102,05-Jan-18,0,0,8,9.9,PR14,,PR03,,NA
18386,P0361,S0113,05-Jan-18,0,0,6,12.9,PR14,,PR03,,NA
18387,P0500,S0107,05-Jan-18,5,29.86,23,6.45,PR14,,PR03,,NA
18388,P0286,S0105,05-Jan-18,0,0,38,1.15,PR14,,PR03,,NA
18389,P0569,S0062,05-Jan-18,0,0,105,3.1,PR14,,PR03,,NA
18390,P0165,S0073,05-Jan-18,0,0,3,1.4,PR14,,PR03,,NA
18391,P0327,S0030,05-Jan-18,0,0,16,3.25,PR14,,PR03,,NA
18392,P0355,S0038,05-Jan-18,0,0,7,17.9,PR14,,PR03,,NA
18393,P0436,S0119,05-Jan-18,1,3.24,15,3.5,PR14,,PR03,,NA
18394,P0129,S0012,05-Jan-18,0,0,4,29.95,PR14,,PR03,,NA
18395,P0201,S0082,05-Jan-18,0,0,7,15.95,PR14,,PR03,,NA
18396,P0054,S0012,05-Jan-18,0,0,24,3.95,PR14,,PR03,,NA
18397,P0657,S0048,05-Jan-18,0,0,19,NA,PR14,,PR03,,NA
18398,P0005,S0043,05-Jan-18,0,0,9,33.9,PR14,,PR03,,NA
18399,P0427,S0025,05-Jan-18,0,0,13,1.95,PR14,,PR03,,NA
18400,P0382,S0028,05-Jan-18,0,0,26,NA,PR14,,PR03,,NA
18401,P0201,S0014,05-Jan-18,0,0,6,15.95,PR14,,PR03,,NA
18402,P0277,S0075,05-Jan-18,0,0,16,3.95,PR14,,PR03,,NA
18403,P0453,S0073,05-Jan-18,0,0,17,6.5,PR14,,PR03,,NA
18404,P0060,S0002,05-Jan-18,0,0,7,16.9,PR14,,PR03,,NA
18405,P0177,S0018,05-Jan-18,0,0,18,12.5,PR14,,PR03,,NA
18406,P0278,S0051,05-Jan-18,1,13.84,8,14.95,PR14,,PR03,,NA
18407,P0590,S0112,05-Jan-18,0,0,34,NA,PR14,,PR03,,NA
18408,P0297,S0070,05-Jan-18,0,0,6,14.95,PR14,,PR03,,NA
18409,P0590,S0130,05-Jan-18,0,0,144,0.6,PR14,,PR03,,NA
18410,P0201,S0113,05-Jan-18,0,0,6,15.95,PR14,,PR03,,NA
18411,P0390,S0127,05-Jan-18,0,0,3,11.9,PR14,,PR03,,NA
18412,P0681,S0113,05-Jan-18,0,0,6,10.9,PR14,,PR03,,NA
18413,P0584,S0066,05-Jan-18,0,0,12,13.9,PR14,,PR03,,NA
18414,P0584,S0051,05-Jan-18,0,0,10,13.9,PR14,,PR03,,NA
18415,P0582,S0051,06-Jan-18,0,0,9,9.45,PR14,,PR03,,NA
18416,P0652,S0142,06-Jan-18,0,0,10,4.45,PR14,,PR03,,NA
18417,P0730,S0050,06-Jan-18,0,0,4,12.9,PR14,,PR03,,NA
18418,P0448,S0008,06-Jan-18,0,0,37,4.05,PR14,,PR03,,NA
18419,P0436,S0004,06-Jan-18,1,3.24,19,3.5,PR14,,PR03,,NA
18420,P0070,S0115,06-Jan-18,1,5.79,18,8.5,PR10,moderate,PR03,,NA
18421,P0261,S0053,06-Jan-18,1,4.12,18,4.45,PR03,verylow,PR03,,NA
18422,P0351,S0013,06-Jan-18,0,0,4,49.5,PR14,,PR03,,NA
18423,P0355,S0048,06-Jan-18,0,0,16,NA,PR14,,PR03,,NA
18424,P0196,S0110,06-Jan-18,0,0,11,7.9,PR14,,PR03,,NA
18425,P0503,S0115,06-Jan-18,0,0,9,18.95,PR14,,PR03,,NA
18426,P0066,S0050,06-Jan-18,0,0,4,2.9,PR14,,PR03,,NA
18427,P0218,S0132,06-Jan-18,0,0,4,59.9,PR14,,PR03,,NA
18428,P0296,S0054,06-Jan-18,0,0,21,0.75,PR14,,PR03,,NA
18429,P0206,S0099,06-Jan-18,0,0,33,1.75,PR14,,PR03,,NA
18430,P0397,S0060,06-Jan-18,0,0,22,18.9,PR05,moderate,PR03,,NA
18431,P0658,S0004,06-Jan-18,1,25.38,8,29.95,PR14,,PR03,,NA
18432,P0114,S0028,06-Jan-18,4,2.41,93,NA,PR14,,PR03,,NA
18433,P0185,S0106,06-Jan-18,2,1.5,0,0.75,PR14,,PR03,,NA
18434,P0165,S0104,06-Jan-18,0,0,9,1.4,PR14,,PR03,,NA
18435,P0490,S0102,06-Jan-18,0,0,1,59.5,PR14,,PR03,,NA
18436,P0337,S0038,06-Jan-18,0,0,17,26.9,PR14,,PR03,,NA
18437,P0491,S0002,06-Jan-18,0,0,2,24.5,PR14,,PR03,,NA
18438,P0317,S0066,06-Jan-18,0,0,11,39.9,PR14,,PR03,,NA
18439,P0114,S0064,06-Jan-18,0,0,19,0.65,PR14,,PR03,,NA
18440,P0364,S0008,06-Jan-18,4,3.7,37,1,PR14,,PR03,,NA
18441,P0521,S0001,06-Jan-18,0,0,6,19.9,PR14,,PR03,,NA
18442,P0590,S0107,06-Jan-18,0,0,37,0.6,PR14,,PR03,,NA
18443,P0147,S0067,06-Jan-18,0,0,5,5.5,PR14,,PR03,,NA
